#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Players,Playtime (Median),Developer(s),Publisher(s),Genre
51,Dota 2,"Jul 9, 2013",Free,N/A (N/A/90%),"200,000,000 .. 500,000,000",0%,00:00 (00:00),Valve,Valve,Action
297,Counter-Strike: Global Offensive,"Aug 21, 2012",Free,N/A (N/A/83%),"100,000,000 .. 200,000,000",0%,00:00 (00:00),Valve,Valve,Action
1,Grand Theft Auto V,"Apr 14, 2015",$29.98,N/A (N/A/96%),"50,000,000 .. 100,000,000",0%,00:00 (00:00),Rockstar North,Rockstar Games,Action
24,Team Fortress 2,"Oct 10, 2007",Free,N/A (N/A/92%),"50,000,000 .. 100,000,000",0%,00:00 (00:00),Valve,Valve,Action
77,Left 4 Dead 2,"Nov 16, 2009",$9.99,N/A (N/A/89%),"50,000,000 .. 100,000,000",0%,00:00 (00:00),Valve,Valve,Action
6939,PUBG: BATTLEGROUNDS,"Dec 21, 2017",Free,N/A (N/A),"50,000,000 .. 100,000,000",0%,00:00 (00:00),"KRAFTON, Inc.","KRAFTON, Inc.",Action
58,Grand Theft Auto IV: Complete Edition,Coming soon,,N/A (N/A/90%),"20,000,000 .. 50,000,000",0%,00:00 (00:00),"Rockstar North, Rockstar Toronto",Rockstar Games,Action
151,Path of Exile,"Oct 23, 2013",Free,N/A (N/A/86%),"20,000,000 .. 50,000,000",0%,00:00 (00:00),Grinding Gear Games,Grinding Gear Games,Action
183,Among Us,"Nov 16, 2018",$4.99,N/A (N/A/85%),"20,000,000 .. 50,000,000",0%,00:00 (00:00),Innersloth,Innersloth,Action
267,The Forest,"Apr 30, 2018",$19.99,N/A (N/A/83%),"20,000,000 .. 50,000,000",0%,00:00 (00:00),Endnight Games Ltd,Endnight Games Ltd,Action
275,Don't Starve Together,"Apr 21, 2016",$14.99,N/A (N/A/83%),"20,000,000 .. 50,000,000",0%,00:00 (00:00),Klei Entertainment,Klei Entertainment,Action
306,Terraria,"May 16, 2011",$9.99,N/A (N/A/83%),"20,000,000 .. 50,000,000",0%,00:00 (00:00),Re-Logic,Re-Logic,Action
408,War Thunder,"Aug 15, 2013",Free,N/A (N/A/81%),"20,000,000 .. 50,000,000",0%,00:00 (00:00),Gaijin Entertainment,Gaijin Network Ltd,Action
578,PAYDAY 2,"Aug 13, 2013",$9.99,N/A (N/A/79%),"20,000,000 .. 50,000,000",0%,00:00 (00:00),OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,Action
