#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Players,Playtime (Median),Developer(s),Publisher(s),Genre
1,Grand Theft Auto V,"Apr 14, 2015",$29.98,N/A (N/A/96%),"50,000,000 .. 100,000,000",0%,00:00 (00:00),Rockstar North,Rockstar Games,Adventure
61,Left 4 Dead 2,"Nov 16, 2009",$9.99,N/A (N/A/89%),"50,000,000 .. 100,000,000",0%,00:00 (00:00),Valve,Valve,Adventure
1108,Rust,"Feb 8, 2018",$39.99,N/A (N/A/69%),"50,000,000 .. 100,000,000",0%,00:00 (00:00),Facepunch Studios,Facepunch Studios,Adventure
45,Grand Theft Auto IV: Complete Edition,Coming soon,,N/A (N/A/90%),"20,000,000 .. 50,000,000",0%,00:00 (00:00),"Rockstar North, Rockstar Toronto",Rockstar Games,Adventure
125,Path of Exile,"Oct 23, 2013",Free,N/A (N/A/86%),"20,000,000 .. 50,000,000",0%,00:00 (00:00),Grinding Gear Games,Grinding Gear Games,Adventure
228,The Forest,"Apr 30, 2018",$19.99,N/A (N/A/83%),"20,000,000 .. 50,000,000",0%,00:00 (00:00),Endnight Games Ltd,Endnight Games Ltd,Adventure
240,Don't Starve Together,"Apr 21, 2016",$14.99,N/A (N/A/83%),"20,000,000 .. 50,000,000",0%,00:00 (00:00),Klei Entertainment,Klei Entertainment,Adventure
267,Terraria,"May 16, 2011",$9.99,N/A (N/A/83%),"20,000,000 .. 50,000,000",0%,00:00 (00:00),Re-Logic,Re-Logic,Adventure
1089,ARK: Survival Evolved,"Aug 27, 2017",$14.99,N/A (N/A/70%),"20,000,000 .. 50,000,000",0%,00:00 (00:00),"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard, Snail Games USA",Adventure
1944,Half-Life 2: Lost Coast,"Oct 27, 2005",,N/A (N/A),"20,000,000 .. 50,000,000",0%,00:00 (00:00),Valve,Valve,Adventure
