#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Players,Playtime (Median),Developer(s),Publisher(s),Genre
29,Wallpaper Engine,Nov 2018,$3.99,N/A (N/A),"20,000,000 .. 50,000,000",0%,00:00 (00:00),Wallpaper Engine Team,Wallpaper Engine Team,NSFW
3,Dream Daddy: A Dad Dating Simulator,"Jul 20, 2017",$14.99,N/A (N/A/72%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Game Grumps,Game Grumps,NSFW
11,Crush Crush,"May 13, 2016",Free,N/A (N/A),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Sad Panda Studios,Sad Panda Studios,NSFW
12,Sakura Clicker,"Jul 29, 2015",Free,N/A (N/A),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Winged Cloud,Winged Cloud,NSFW
81,Tricolour Lovestory,"Sep 20, 2017",$0.59,N/A (N/A),"1,000,000 .. 2,000,000",0%,00:00 (00:00),HL-Galgame,SakuraGame,NSFW
4,Genital Jousting,"Jan 18, 2018",$0.76,N/A (N/A/68%),"500,000 .. 1,000,000",0%,00:00 (00:00),Free Lives,Devolver Digital,NSFW
58,Changed,"Apr 4, 2018",$4.99,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),DragonSnow,DragonSnow,NSFW
85,Dark Elf,"Aug 3, 2017",,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),ONEONE1,Paradise Project,NSFW
104,NEKOPARA Vol. 2,"Feb 19, 2016",$9.99,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),NEKO WORKs,Sekai Project,NSFW
107,Sakura Swim Club,"Sep 11, 2015",$4.99,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),Winged Cloud,Winged Cloud,NSFW
115,NEKOPARA Vol. 1,"Dec 29, 2014",$9.99,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),NEKO WORKs,Sekai Project,NSFW
5,Flatout 3: Chaos & Destruction,"Dec 13, 2011",$7.99,N/A (N/A/23%),"200,000 .. 500,000",0%,00:00 (00:00),Team 6 Studios,Strategy First,NSFW
10,Radiator 2: Anniversary Edition,"Jun 16, 2016",Free,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),Robert Yang,Robert Yang,NSFW
17,Seek Girl,"Mar 14, 2019",Free,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),DSGame,DSGame,NSFW
21,Wet Girl,"Jan 30, 2019",$0.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),Wet Girl,Shoot Girl,NSFW
38,Bean Battles,"Aug 22, 2018",$0.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),Gupa Games,Gupa Games,NSFW
41,NEKOPARA Extra,"Jul 26, 2018",$4.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),NEKO WORKs,Sekai Project,NSFW
44,Treasure Hunter Claire,"Jul 19, 2018",$19.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),Acerola,Kagura Games,NSFW
50,Fox Hime Zero,"May 23, 2018",$0.59,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),AsicxArt,SakuraGame,NSFW
62,SENRAN KAGURA Peach Beach Splash,"Mar 7, 2018",$29.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),Tamsoft,"XSEED Games, Marvelous USA, Inc., Marvelous",NSFW
