#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Players,Playtime (Median),Developer(s),Publisher(s),Genre
1,Grand Theft Auto V,"Apr 14, 2015",$29.98,N/A (N/A/96%),"50,000,000 .. 100,000,000",0%,00:00 (00:00),Rockstar North,Rockstar Games,Racing
8,Rocket League,"Jul 7, 2015",,N/A (N/A/86%),"10,000,000 .. 20,000,000",0%,00:00 (00:00),Psyonix LLC,Psyonix LLC,Racing
242,RaceRoom Racing Experience,"Feb 12, 2013",,N/A (N/A),"5,000,000 .. 10,000,000",0%,00:00 (00:00),KW Studios,"KW Studios, RaceRoom Entertainment AG",Racing
243,APB Reloaded,"Dec 6, 2011",Free,N/A (N/A),"5,000,000 .. 10,000,000",0%,00:00 (00:00),Reloaded Productions,Little Orbit,Racing
956,BeamNG.drive,"May 29, 2015",$24.99,N/A (N/A),"5,000,000 .. 10,000,000",0%,00:00 (00:00),BeamNG,BeamNG,Racing
3,Mafia,"Aug 28, 2002",$14.99,N/A (N/A/88%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Illusion Softworks,2K,Racing
7,DiRT Rally,"Dec 7, 2015",,N/A (N/A/86%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),"Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac), Electronic Arts",Racing
10,Assetto Corsa,"Dec 19, 2014",$19.99,N/A (N/A/85%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Kunos Simulazioni,Kunos Simulazioni,Racing
16,SpeedRunners,"Apr 19, 2016",$2.99,N/A (N/A/84%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),DoubleDutch Games,tinyBuild,Racing
67,Mad Max,"Sep 1, 2015",$19.99,N/A (N/A/73%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Avalanche Studios,"Warner Bros. Games, Warner Bros. Interactive Entertainment",Racing
108,F1 2015,"Jul 9, 2015",,N/A (N/A/61%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),"Codemasters, Feral Interactive (Linux)","Codemasters, Feral Interactive (Linux)",Racing
190,Crossout,"Jul 26, 2017",Free,N/A (N/A),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Targem Games,Gaijin Network Ltd,Racing
