#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Players,Playtime (Median),Developer(s),Publisher(s),Genre
9,Dota 2,"Jul 9, 2013",Free,N/A (N/A/90%),"200,000,000 .. 500,000,000",0%,00:00 (00:00),Valve,Valve,Simulation
374,Rust,"Feb 8, 2018",$39.99,N/A (N/A/69%),"50,000,000 .. 100,000,000",0%,00:00 (00:00),Facepunch Studios,Facepunch Studios,Simulation
3127,PUBG: BATTLEGROUNDS,"Dec 21, 2017",Free,N/A (N/A),"50,000,000 .. 100,000,000",0%,00:00 (00:00),"KRAFTON, Inc.","KRAFTON, Inc.",Simulation
15,Stardew Valley,"Feb 26, 2016",$14.99,N/A (N/A/89%),"20,000,000 .. 50,000,000",0%,00:00 (00:00),ConcernedApe,ConcernedApe,Simulation
64,The Forest,"Apr 30, 2018",$19.99,N/A (N/A/83%),"20,000,000 .. 50,000,000",0%,00:00 (00:00),Endnight Games Ltd,Endnight Games Ltd,Simulation
101,World of Warships,"Nov 15, 2017",Free,N/A (N/A/81%),"20,000,000 .. 50,000,000",0%,00:00 (00:00),Wargaming Group Limited,Wargaming Group Limited,Simulation
114,War Thunder,"Aug 15, 2013",Free,N/A (N/A/81%),"20,000,000 .. 50,000,000",0%,00:00 (00:00),Gaijin Entertainment,Gaijin Network Ltd,Simulation
157,PAYDAY 2,"Aug 13, 2013",$9.99,N/A (N/A/79%),"20,000,000 .. 50,000,000",0%,00:00 (00:00),OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,Simulation
5658,Garry's Mod,"Nov 29, 2006",$9.99,N/A (N/A),"20,000,000 .. 50,000,000",0%,00:00 (00:00),Facepunch Studios,Valve,Simulation
10,Sid Meier's Civilization V,"Sep 21, 2010",$7.49,N/A (N/A/90%),"10,000,000 .. 20,000,000",0%,00:00 (00:00),"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",Simulation
20,Counter-Strike: Source,"Nov 1, 2004",$9.99,N/A (N/A/88%),"10,000,000 .. 20,000,000",0%,00:00 (00:00),Valve,Valve,Simulation
160,Euro Truck Simulator 2,"Oct 18, 2012",$4.99,N/A (N/A/79%),"10,000,000 .. 20,000,000",0%,00:00 (00:00),SCS Software,SCS Software,Simulation
347,Human Fall Flat,"Jul 22, 2016",$19.99,N/A (N/A/70%),"10,000,000 .. 20,000,000",0%,00:00 (00:00),No Brakes Games,Curve Games,Simulation
994,Robocraft,"Aug 24, 2017",Free,N/A (N/A),"10,000,000 .. 20,000,000",0%,00:00 (00:00),Freejam,Freejam,Simulation
1095,VRChat,"Feb 1, 2017",Free,N/A (N/A),"10,000,000 .. 20,000,000",0%,00:00 (00:00),VRChat Inc.,VRChat Inc.,Simulation
1144,Heroes & Generals,"Oct 18, 2016",,N/A (N/A),"10,000,000 .. 20,000,000",0%,00:00 (00:00),TLM Partners,TLM Partners,Simulation
5462,7 Days to Die,"Dec 13, 2013",$24.99,N/A (N/A),"10,000,000 .. 20,000,000",0%,00:00 (00:00),The Fun Pimps,The Fun Pimps Entertainment LLC,Simulation
5472,Project Zomboid,"Nov 8, 2013",$19.99,N/A (N/A),"10,000,000 .. 20,000,000",0%,00:00 (00:00),The Indie Stone,The Indie Stone,Simulation
18,Sid Meier’s Civilization VI,"Oct 20, 2016",$59.99,N/A (N/A/88%),"5,000,000 .. 10,000,000",0%,00:00 (00:00),"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",Simulation
22,Europa Universalis IV,"Aug 13, 2013",$11.99,N/A (N/A/87%),"5,000,000 .. 10,000,000",0%,00:00 (00:00),"Paradox Development Studio, Paradox Tinto",Paradox Interactive,Simulation
38,Call of Duty 2,"Oct 13, 2006",$19.99,N/A (N/A/86%),"5,000,000 .. 10,000,000",0%,00:00 (00:00),Infinity Ward,Activision,Simulation
40,Cities: Skylines,"Mar 10, 2015",$8.99,N/A (N/A/85%),"5,000,000 .. 10,000,000",0%,00:00 (00:00),Colossal Order Ltd.,Paradox Interactive,Simulation
68,Hearts of Iron IV,"Jun 6, 2016",$14.99,N/A (N/A/83%),"5,000,000 .. 10,000,000",0%,00:00 (00:00),Paradox Development Studio,Paradox Interactive,Simulation
130,Black Desert,"May 24, 2017",$9.99,N/A (N/A/80%),"5,000,000 .. 10,000,000",0%,00:00 (00:00),Pearl Abyss,Pearl Abyss,Simulation
140,Company of Heroes 2,"Jun 25, 2013",$19.99,N/A (N/A/80%),"5,000,000 .. 10,000,000",0%,00:00 (00:00),"Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",Simulation
143,Day of Defeat: Source,"Jul 12, 2010",$9.99,N/A (N/A/80%),"5,000,000 .. 10,000,000",0%,00:00 (00:00),Valve,Valve,Simulation
159,Chivalry: Medieval Warfare,"Oct 16, 2012",$24.99,N/A (N/A/79%),"5,000,000 .. 10,000,000",0%,00:00 (00:00),Torn Banner Studios,Torn Banner Studios,Simulation
182,Mount & Blade: Warband,"Mar 31, 2010",$19.99,N/A (N/A/78%),"5,000,000 .. 10,000,000",0%,00:00 (00:00),TaleWorlds Entertainment,TaleWorlds Entertainment,Simulation
266,Arma 3,"Sep 12, 2013",$29.99,N/A (N/A/74%),"5,000,000 .. 10,000,000",0%,00:00 (00:00),Bohemia Interactive,Bohemia Interactive,Simulation
286,Call of Duty: Black Ops III,"Nov 5, 2015",$59.99,N/A (N/A/73%),"5,000,000 .. 10,000,000",0%,00:00 (00:00),"Treyarch, Aspyr (Mac)","Activision, Aspyr (Mac)",Simulation
452,Counter-Strike: Condition Zero,"Mar 1, 2004",$9.99,N/A (N/A/65%),"5,000,000 .. 10,000,000",0%,00:00 (00:00),Valve,Valve,Simulation
465,Fallout Shelter,"Mar 29, 2017",Free,N/A (N/A/63%),"5,000,000 .. 10,000,000",0%,00:00 (00:00),Bethesda Game Studios,Bethesda Softworks,Simulation
495,No Man's Sky,"Aug 12, 2016",$59.99,N/A (N/A/61%),"5,000,000 .. 10,000,000",0%,00:00 (00:00),Hello Games,Hello Games,Simulation
1012,Business Tour - Board Game with Online Multiplayer,"Jul 27, 2017",Free,N/A (N/A),"5,000,000 .. 10,000,000",0%,00:00 (00:00),8Floor,8Floor,Simulation
1294,Clicker Heroes,"May 13, 2015",Free,N/A (N/A),"5,000,000 .. 10,000,000",0%,00:00 (00:00),Playsaurus,Playsaurus,Simulation
1299,Freestyle 2: Street Basketball,"Apr 1, 2015",Free,N/A (N/A),"5,000,000 .. 10,000,000",0%,00:00 (00:00),JOYCITY,JOYCITY,Simulation
1300,AdVenture Capitalist,"Mar 30, 2015",Free,N/A (N/A),"5,000,000 .. 10,000,000",0%,00:00 (00:00),Hyper Hippo Games,Hyper Hippo Games,Simulation
1331,theHunter Classic,"Jun 3, 2014",Free,N/A (N/A),"5,000,000 .. 10,000,000",0%,00:00 (00:00),"Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios",Simulation
1349,RaceRoom Racing Experience,"Feb 12, 2013",,N/A (N/A),"5,000,000 .. 10,000,000",0%,00:00 (00:00),KW Studios,"KW Studios, RaceRoom Entertainment AG",Simulation
1765,DayZ,"Dec 13, 2018",$44.99,N/A (N/A),"5,000,000 .. 10,000,000",0%,00:00 (00:00),Bohemia Interactive,Bohemia Interactive,Simulation
4158,Street Warriors Online,"Dec 16, 2016",$1.19,N/A (N/A),"5,000,000 .. 10,000,000",0%,00:00 (00:00),Crazy Rocks Studios,Crazy Rocks Studios,Simulation
5108,BeamNG.drive,"May 29, 2015",$24.99,N/A (N/A),"5,000,000 .. 10,000,000",0%,00:00 (00:00),BeamNG,BeamNG,Simulation
5328,The Sims 4,"Sep 2, 2014",Free,N/A (N/A),"5,000,000 .. 10,000,000",0%,00:00 (00:00),Maxis,Electronic Arts,Simulation
2,Company of Heroes - Legacy Edition,"Sep 11, 2006",$19.99,N/A (N/A/93%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Relic Entertainment,SEGA,Simulation
19,Kerbal Space Program,"Apr 27, 2015",$39.99,N/A (N/A/88%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Squad,Private Division,Simulation
21,RimWorld,"Oct 17, 2018",$34.99,N/A (N/A/87%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Ludeon Studios,Ludeon Studios,Simulation
28,DiRT Rally,"Dec 7, 2015",,N/A (N/A/86%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),"Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac), Electronic Arts",Simulation
33,The Sims 3,"Jan 27, 2011",$19.99,N/A (N/A/86%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),The Sims Studio,Electronic Arts,Simulation
41,Assetto Corsa,"Dec 19, 2014",$19.99,N/A (N/A/85%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Kunos Simulazioni,Kunos Simulazioni,Simulation
43,"Papers, Please","Aug 8, 2013",$9.99,N/A (N/A/85%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Lucas Pope,3909,Simulation
47,Frostpunk,"Apr 24, 2018",$29.99,N/A (N/A/84%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),11 bit studios,11 bit studios,Simulation
51,Planet Coaster,"Nov 17, 2016",$44.99,N/A (N/A/84%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),"Frontier Developments, Aspyr (Mac)","Frontier Developments, Aspyr (Mac)",Simulation
54,FTL: Faster Than Light,"Sep 14, 2012",$9.99,N/A (N/A/84%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Subset Games,Subset Games,Simulation
57,SPORE,"Dec 19, 2008",$19.99,N/A (N/A/84%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Maxis™,Electronic Arts,Simulation
70,Prison Architect,"Oct 6, 2015",$5.99,N/A (N/A/83%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),"Double Eleven, Introversion Software",Paradox Interactive,Simulation
72,This War of Mine,"Nov 14, 2014",$19.99,N/A (N/A/83%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),11 bit studios,11 bit studios,Simulation
