#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Players,Playtime (Median),Developer(s),Publisher(s),Genre
11,Rocket League,"Jul 7, 2015",,N/A (N/A/86%),"10,000,000 .. 20,000,000",0%,00:00 (00:00),Psyonix LLC,Psyonix LLC,Sports
291,Freestyle 2: Street Basketball,"Apr 1, 2015",Free,N/A (N/A),"5,000,000 .. 10,000,000",0%,00:00 (00:00),JOYCITY,JOYCITY,Sports
297,theHunter Classic,"Jun 3, 2014",Free,N/A (N/A),"5,000,000 .. 10,000,000",0%,00:00 (00:00),"Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios",Sports
302,RaceRoom Racing Experience,"Feb 12, 2013",,N/A (N/A),"5,000,000 .. 10,000,000",0%,00:00 (00:00),KW Studios,"KW Studios, RaceRoom Entertainment AG",Sports
1094,Street Warriors Online,"Dec 16, 2016",$1.19,N/A (N/A),"5,000,000 .. 10,000,000",0%,00:00 (00:00),Crazy Rocks Studios,Crazy Rocks Studios,Sports
1444,Ricochet,"Nov 1, 2000",$4.99,N/A (N/A),"5,000,000 .. 10,000,000",0%,00:00 (00:00),Valve,Valve,Sports
10,DiRT Rally,"Dec 7, 2015",,N/A (N/A/86%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),"Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac), Electronic Arts",Sports
13,Assetto Corsa,"Dec 19, 2014",$19.99,N/A (N/A/85%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Kunos Simulazioni,Kunos Simulazioni,Sports
19,SpeedRunners,"Apr 19, 2016",$2.99,N/A (N/A/84%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),DoubleDutch Games,tinyBuild,Sports
27,TEKKEN 7,"Jun 1, 2017",$39.99,N/A (N/A/82%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,Sports
43,Football Manager 2017,"Nov 3, 2016",,N/A (N/A/80%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Sports Interactive,SEGA,Sports
56,NBA 2K19,"Sep 10, 2018",,N/A (N/A/76%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Visual Concepts,2K,Sports
103,F1 2015,"Jul 9, 2015",,N/A (N/A/61%),"2,000,000 .. 5,000,000",0%,00:00 (00:00),"Codemasters, Feral Interactive (Linux)","Codemasters, Feral Interactive (Linux)",Sports
261,Rec Room,"Jun 1, 2016",Free,N/A (N/A),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Rec Room,Rec Room,Sports
271,Party Jousting,"Mar 1, 2016",Free,N/A (N/A),"2,000,000 .. 5,000,000",0%,00:00 (00:00),vikingfabian.com,vikingfabian.com,Sports
273,Governor of Poker 3,"Feb 19, 2016",Free,N/A (N/A),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Playtika Ltd.,Playtika Ltd.,Sports
285,Fishing Planet,"Aug 11, 2015",Free,N/A (N/A),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Fishing Planet LLC,Fishing Planet LLC,Sports
301,S.K.I.L.L. - Special Force 2 (Shooter),"Sep 12, 2013",,N/A (N/A),"2,000,000 .. 5,000,000",0%,00:00 (00:00),"Dragonfly GF Co., LTD",Space Budgie,Sports
308,TrackMania Nations Forever,"Apr 16, 2008",Free,N/A (N/A),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Nadeo,Ubisoft,Sports
579,The Crew 2,"Jun 28, 2018",$11.99,N/A (N/A),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Ivory Tower,Ubisoft,Sports
1050,theHunter: Call of the Wild,"Feb 16, 2017",$19.99,N/A (N/A),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Expansive Worlds,Expansive Worlds,Sports
5,Burnout Paradise: The Ultimate Box,"Feb 3, 2009",,N/A (N/A/87%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Criterion Games,Electronic Arts,Sports
6,NBA 2K18,Coming soon,,N/A (N/A/87%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Visual Concepts,2K,Sports
7,Football Manager 2019,"Nov 2, 2018",,N/A (N/A/86%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Sports Interactive,SEGA,Sports
15,DiRT Rally 2.0,"Feb 25, 2019",$19.99,N/A (N/A/84%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Codemasters,"Codemasters, Electronic Arts",Sports
18,Project CARS 2,"Sep 21, 2017",,N/A (N/A/84%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Slightly Mad Studios,BANDAI NAMCO Entertainment,Sports
24,Project CARS,"May 6, 2015",,N/A (N/A/83%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Slightly Mad Studios,"Codemasters, Slightly Mad Studios, Electronic Arts",Sports
33,Wreckfest,"Jun 14, 2018",$29.99,N/A (N/A/81%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Bugbear,THQ Nordic,Sports
58,Blood Bowl 2,"Sep 22, 2015",$19.99,N/A (N/A/76%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Cyanide Studios,Nacon,Sports
60,Need for Speed Rivals,"Jun 4, 2020",$19.99,N/A (N/A/76%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Criterion Games,Electronic Arts,Sports
61,Poker Night 2,"Apr 26, 2013",,N/A (N/A/75%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Telltale Games,Telltale Games,Sports
65,Punch Club,"Jan 8, 2016",$1.99,N/A (N/A/73%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Lazy Bear Games,tinyBuild,Sports
69,Steep,"Dec 2, 2016",$4.49,N/A (N/A/72%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),"Ubisoft Annecy, Ubisoft Montpellier, Ubisoft Kiev",Ubisoft,Sports
73,Poker Night at the Inventory,"Nov 22, 2010",,N/A (N/A/71%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Telltale Games,Soldak Entertainment,Sports
100,Need for Speed Payback,"Nov 6, 2017",$29.99,N/A (N/A/62%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Ghost Games,Electronic Arts,Sports
