#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Players,Playtime (Median),Developer(s),Publisher(s),Genre
206,Doki Doki Literature Club!,"Sep 22, 2017",Free,N/A (N/A),"5,000,000 .. 10,000,000",0%,00:00 (00:00),Team Salvato,Team Salvato,Visual Novel
294,Everlasting Summer,"Nov 19, 2014",Free,N/A (N/A),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Soviet Games,Soviet Games,Visual Novel
5,Her Story,"Jun 24, 2015",$9.99,N/A (N/A/86%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Sam Barlow,Sam Barlow,Visual Novel
7,The Wolf Among Us,"Oct 11, 2013",$14.99,N/A (N/A/85%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Telltale,Telltale,Visual Novel
34,Zero Escape: Zero Time Dilemma,"Jun 29, 2016",$19.99,N/A (N/A/78%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",Visual Novel
39,Orwell: Keeping an Eye On You,"Oct 27, 2016",$9.99,N/A (N/A/77%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Osmotic Studios,Osmotic Studios,Visual Novel
41,VA-11 Hall-A: Cyberpunk Bartender Action,"Jun 21, 2016",$14.99,N/A (N/A/77%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Sukeban Games,"Ysbryd Games, PLAYISM",Visual Novel
60,Dream Daddy: A Dad Dating Simulator,"Jul 20, 2017",$14.99,N/A (N/A/72%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Game Grumps,Game Grumps,Visual Novel
259,Crush Crush,"May 13, 2016",Free,N/A (N/A),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Sad Panda Studios,Sad Panda Studios,Visual Novel
279,Emily is Away,"Nov 20, 2015",Free,N/A (N/A),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Kyle Seeley,Kyle Seeley,Visual Novel
660,Lobotomy Corporation | Monster Management Simulation,"Apr 9, 2018",$24.99,N/A (N/A),"1,000,000 .. 2,000,000",0%,00:00 (00:00),ProjectMoon,ProjectMoon,Visual Novel
836,Tricolour Lovestory,"Sep 20, 2017",$0.59,N/A (N/A),"1,000,000 .. 2,000,000",0%,00:00 (00:00),HL-Galgame,SakuraGame,Visual Novel
906,Secret in Story,"Jun 19, 2017",$0.99,N/A (N/A),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Naivus Luo,Naivus Luo,Visual Novel
1,What Remains of Edith Finch,"Apr 24, 2017",$19.99,N/A (N/A/89%),"500,000 .. 1,000,000",0%,00:00 (00:00),Giant Sparrow,Annapurna Interactive,Visual Novel
3,STEINS;GATE,"Sep 8, 2016",$29.99,N/A (N/A/87%),"500,000 .. 1,000,000",0%,00:00 (00:00),MAGES. Inc.,"Spike Chunsoft Co., Ltd.",Visual Novel
6,Thronebreaker: The Witcher Tales,"Nov 9, 2018",$4.99,N/A (N/A/85%),"500,000 .. 1,000,000",0%,00:00 (00:00),CD PROJEKT RED,CD PROJEKT RED,Visual Novel
11,Detention,"Jan 12, 2017",$11.99,N/A (N/A/83%),"500,000 .. 1,000,000",0%,00:00 (00:00),RedCandleGames,"RedCandleGames, AGM PLAYISM",Visual Novel
12,Danganronpa 2: Goodbye Despair,"Apr 18, 2016",$19.99,N/A (N/A/83%),"500,000 .. 1,000,000",0%,00:00 (00:00),"Spike Chunsoft Co., Ltd., Abstraction Games","Spike Chunsoft Co., Ltd.",Visual Novel
14,Pyre,"Jul 25, 2017",$19.99,N/A (N/A/82%),"500,000 .. 1,000,000",0%,00:00 (00:00),Supergiant Games,Supergiant Games,Visual Novel
16,Danganronpa: Trigger Happy Havoc,"Feb 18, 2016",$19.99,N/A (N/A/82%),"500,000 .. 1,000,000",0%,00:00 (00:00),"Spike Chunsoft Co., Ltd., Abstraction Games","Spike Chunsoft Co., Ltd.",Visual Novel
18,The Walking Dead: A New Frontier,"Dec 20, 2016",$14.99,N/A (N/A/81%),"500,000 .. 1,000,000",0%,00:00 (00:00),Telltale Games,Skybound Games,Visual Novel
21,Phoenix Wright: Ace Attorney Trilogy,"Apr 9, 2019",$29.99,N/A (N/A/80%),"500,000 .. 1,000,000",0%,00:00 (00:00),"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Visual Novel
23,Danganronpa V3: Killing Harmony,"Sep 25, 2017",$39.99,N/A (N/A/80%),"500,000 .. 1,000,000",0%,00:00 (00:00),"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",Visual Novel
56,Monster Prom,"Apr 27, 2018",$11.99,N/A (N/A/73%),"500,000 .. 1,000,000",0%,00:00 (00:00),Beautiful Glitch,Those Awesome Guys,Visual Novel
62,Hyperdimension Neptunia Re;Birth1,"Jan 29, 2015",$14.99,N/A (N/A/72%),"500,000 .. 1,000,000",0%,00:00 (00:00),"IDEA FACTORY Co., Ltd., COMPILE HEART Co., Ltd., FELISTELLA Co., Ltd.","Idea Factory International, Inc., IDEA FACTORY Co., Ltd.",Visual Novel
77,This Is the Police 2,"Jul 31, 2018",$14.99,N/A (N/A/66%),"500,000 .. 1,000,000",0%,00:00 (00:00),Weappy Studio,THQ Nordic,Visual Novel
89,Sword Art Online: Fatal Bullet,"Feb 23, 2018",$39.99,N/A (N/A/61%),"500,000 .. 1,000,000",0%,00:00 (00:00),DIMPS,BANDAI NAMCO Entertainment,Visual Novel
99,Blush Blush,"Apr 4, 2019",Free,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),Sad Panda Studios,Sad Panda Studios,Visual Novel
298,Sunrider: Mask of Arcadius,"Jul 2, 2014",Free,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),Love in Space,Sekai Project,Visual Novel
703,Cyberdimension Neptunia: 4 Goddesses Online,"Feb 27, 2018",$29.99,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),"IDEA FACTORY, COMPILE HEART, TAMSOFT",Idea Factory International,Visual Novel
869,Dark Elf,"Aug 3, 2017",,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),ONEONE1,Paradise Project,Visual Novel
1027,Midnight Carnival,"Nov 22, 2016",$1.99,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),Delusional Games,Back To Basics Gaming,Visual Novel
1037,Once in Yaissor,"Nov 9, 2016",$0.99,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),Valera Entertainment,Valera Entertainment,Visual Novel
1097,This Is the Police,"Aug 2, 2016",$14.99,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),Weappy Studio,THQ Nordic,Visual Novel
1098,Batman - The Telltale Series,"Aug 2, 2016",$14.99,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),Telltale,Telltale,Visual Novel
1102,A Detective's Novel,"Jul 28, 2016",$1.99,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),Amaterasu Software,Amaterasu Software,Visual Novel
1199,NEKOPARA Vol. 2,"Feb 19, 2016",$9.99,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),NEKO WORKs,Sekai Project,Visual Novel
1255,Sakura Swim Club,"Sep 11, 2015",$4.99,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),Winged Cloud,Winged Cloud,Visual Novel
1261,NEKOPARA Vol. 0,"Aug 17, 2015",$2.99,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),NEKO WORKs,Sekai Project,Visual Novel
1320,NEKOPARA Vol. 1,"Dec 29, 2014",$9.99,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),NEKO WORKs,Sekai Project,Visual Novel
2,Night in the Woods,"Feb 21, 2017",$19.99,N/A (N/A/88%),"200,000 .. 500,000",0%,00:00 (00:00),Infinite Fall,Finji,Visual Novel
4,Zero Escape: The Nonary Games,"Mar 24, 2017",$29.99,N/A (N/A/86%),"200,000 .. 500,000",0%,00:00 (00:00),"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",Visual Novel
8,GUILTY GEAR Xrd -SIGN-,"Dec 9, 2015",$29.99,N/A (N/A/84%),"200,000 .. 500,000",0%,00:00 (00:00),Arc System Works,Arc System Works,Visual Novel
10,Subsurface Circular,"Aug 17, 2017",$5.99,N/A (N/A/83%),"200,000 .. 500,000",0%,00:00 (00:00),Bithell Games,Bithell Games,Visual Novel
13,CLANNAD,"Nov 23, 2015",$44.99,N/A (N/A/83%),"200,000 .. 500,000",0%,00:00 (00:00),VisualArts/Key,Sekai Project,Visual Novel
17,Emily is Away Too,"May 26, 2017",$4.99,N/A (N/A/81%),"200,000 .. 500,000",0%,00:00 (00:00),Kyle Seeley,Kyle Seeley,Visual Novel
19,Kentucky Route Zero: PC Edition,"Feb 22, 2013",$24.99,N/A (N/A/81%),"200,000 .. 500,000",0%,00:00 (00:00),Cardboard Computer,Cardboard Computer,Visual Novel
