#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Players,Developer(s),Publisher(s),Genre
51,Dota 2,"Jul 9, 2013",Free,90%,350000000,0%,Valve,Valve,Action
297,Counter-Strike: Global Offensive,"Aug 21, 2012",Free,83%,150000000,0%,Valve,Valve,Action
1,Grand Theft Auto V,"Apr 14, 2015",$29.98,96%,75000000,0%,Rockstar North,Rockstar Games,Action
24,Team Fortress 2,"Oct 10, 2007",Free,92%,75000000,0%,Valve,Valve,Action
77,Left 4 Dead 2,"Nov 16, 2009",$9.99,89%,75000000,0%,Valve,Valve,Action
6939,PUBG: BATTLEGROUNDS,"Dec 21, 2017",Free,,75000000,0%,"KRAFTON, Inc.","KRAFTON, Inc.",Action
151,Path of Exile,"Oct 23, 2013",Free,86%,35000000,0%,Grinding Gear Games,Grinding Gear Games,Action
183,Among Us,"Nov 16, 2018",$4.99,85%,35000000,0%,Innersloth,Innersloth,Action
267,The Forest,"Apr 30, 2018",$19.99,83%,35000000,0%,Endnight Games Ltd,Endnight Games Ltd,Action
275,Don't Starve Together,"Apr 21, 2016",$14.99,83%,35000000,0%,Klei Entertainment,Klei Entertainment,Action
306,Terraria,"May 16, 2011",$9.99,83%,35000000,0%,Re-Logic,Re-Logic,Action
408,War Thunder,"Aug 15, 2013",Free,81%,35000000,0%,Gaijin Entertainment,Gaijin Network Ltd,Action
578,PAYDAY 2,"Aug 13, 2013",$9.99,79%,35000000,0%,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,Action
1173,ARK: Survival Evolved,"Aug 27, 2017",$14.99,70%,35000000,0%,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard, Snail Games USA",Action
1188,Rust,"Feb 8, 2018",$39.99,69%,35000000,0%,Facepunch Studios,Facepunch Studios,Action
1222,Warframe,"Mar 25, 2013",Free,69%,35000000,0%,Digital Extremes,Digital Extremes,Action
2326,Half-Life 2: Lost Coast,"Oct 27, 2005",,,35000000,0%,Valve,Valve,Action
3113,Brawlhalla,"Oct 17, 2017",Free,,35000000,0%,Blue Mammoth Games,Ubisoft,Action
3223,Unturned,"Jul 7, 2017",Free,,35000000,0%,Smartly Dressed Games,Smartly Dressed Games,Action
4540,Wallpaper Engine,Nov 2018,$3.99,,35000000,0%,Wallpaper Engine Team,Wallpaper Engine Team,Action
10792,Tom Clancy's Rainbow Six Siege,"Dec 1, 2015",$19.99,,35000000,0%,Ubisoft Montreal,Ubisoft,Action
12430,Garry's Mod,"Nov 29, 2006",$9.99,,35000000,0%,Facepunch Studios,Valve,Action
5,Portal 2,"Apr 18, 2011",$9.99,95%,15000000,0%,Valve,Valve,Action
14,The Witcher 3: Wild Hunt,"May 18, 2015",$9.99,93%,15000000,0%,CD PROJEKT RED,CD PROJEKT RED,Action
55,Portal,"Oct 10, 2007",$9.99,90%,15000000,0%,Valve,Valve,Action
100,Counter-Strike: Source,"Nov 1, 2004",$9.99,88%,15000000,0%,Valve,Valve,Action
103,Counter-Strike,"Nov 1, 2000",$9.99,88%,15000000,0%,Valve,Valve,Action
105,Sekiro: Shadows Die Twice - GOTY Edition,"Mar 21, 2019",$59.99,88%,15000000,0%,FromSoftware,"Activision (Excluding Japan and Asia), FromSoftware (Japan), 方块游戏 (Asia)",Action
107,Monster Hunter: World,"Aug 8, 2018",$29.99,88%,15000000,0%,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Action
117,Hollow Knight,"Feb 24, 2017",$14.99,87%,15000000,0%,Team Cherry,Team Cherry,Action
146,Rocket League,"Jul 7, 2015",,86%,15000000,0%,Psyonix LLC,Psyonix LLC,Action
227,Fallout 4,"Nov 9, 2015",$19.99,84%,15000000,0%,Bethesda Game Studios,Bethesda Softworks,Action
266,Paladins,"May 8, 2018",Free,83%,15000000,0%,Evil Mojo Games,Hi-Rez Studios,Action
281,SMITE,"Sep 8, 2015",Free,83%,15000000,0%,Titan Forge Games,Hi-Rez Studios,Action
377,World of Warships,"Nov 15, 2017",Free,81%,15000000,0%,Wargaming Group Limited,Wargaming Group Limited,Action
1123,Human Fall Flat,"Jul 22, 2016",$19.99,70%,15000000,0%,No Brakes Games,Curve Games,Action
1169,Z1 Battle Royale,"Feb 28, 2018",Free,70%,15000000,0%,Daybreak Game Company,Daybreak Game Company,Action
1503,Warface,"Apr 12, 2012",Free,62%,15000000,0%,MY.GAMES,MY.GAMES,Action
2107,Trove,"Jul 9, 2015",,,15000000,0%,gamigo US Inc.,gamigo US Inc.,Action
2645,Ring of Elysium,"Sep 19, 2018",,,15000000,0%,Aurora Studio,TCH Scarlet Limited,Action
3173,Robocraft,"Aug 24, 2017",Free,,15000000,0%,Freejam,Freejam,Action
3364,VRChat,"Feb 1, 2017",Free,,15000000,0%,VRChat Inc.,VRChat Inc.,Action
3433,World of Tanks Blitz,"Nov 9, 2016",Free,,15000000,0%,Wargaming Group Limited,Wargaming Group Limited,Action
3454,Heroes & Generals,"Oct 18, 2016",,,15000000,0%,TLM Partners,TLM Partners,Action
9231,Street Warriors Online,"Dec 16, 2016",$1.19,,15000000,0%,Crazy Rocks Studios,Crazy Rocks Studios,Action
10144,Dead by Daylight,"Jun 14, 2016",$19.99,,15000000,0%,Behaviour Interactive Inc.,Behaviour Interactive Inc.,Action
11692,The Binding of Isaac: Rebirth,"Nov 4, 2014",$14.99,,15000000,0%,"Nicalis, Inc., Edmund McMillen","Nicalis, Inc.",Action
12072,7 Days to Die,"Dec 13, 2013",$24.99,,15000000,0%,The Fun Pimps,The Fun Pimps Entertainment LLC,Action
12447,Half-Life 2: Deathmatch,"Nov 1, 2004",$4.99,,15000000,0%,Valve,Valve,Action
3,Half-Life 2,"Nov 16, 2004",$9.99,96%,7500000,0%,Valve,Valve,Action
6,BioShock Infinite,"Mar 25, 2013",$29.99,94%,7500000,0%,"Irrational Games, Virtual Programming (Linux)",2K,Action
7,The Elder Scrolls V: Skyrim,"Nov 10, 2011",$19.99,94%,7500000,0%,Bethesda Game Studios,Bethesda Softworks,Action
17,Grand Theft Auto: San Andreas,"Jun 6, 2005",,93%,7500000,0%,Rockstar Games,Rockstar Games,Action
56,Half-Life 2: Episode Two,"Oct 10, 2007",$7.99,90%,7500000,0%,Valve,Valve,Action
61,Devil May Cry 5,"Mar 7, 2019",$29.99,89%,7500000,0%,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Action
62,Resident Evil 2,"Jan 24, 2019",$39.99,89%,7500000,0%,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Action
63,Dead Cells,"Aug 6, 2018",$24.99,89%,7500000,0%,Motion Twin,Motion Twin,Action
66,DARK SOULS III,"Apr 11, 2016",$59.99,89%,7500000,0%,"FromSoftware, Inc.","FromSoftware, Inc., Bandai Namco Entertainment",Action
82,Left 4 Dead,"Nov 17, 2008",$9.99,89%,7500000,0%,Valve,Valve,Action
87,XCOM 2,"Feb 4, 2016",$59.99,88%,7500000,0%,"Firaxis Games, Feral Interactive (Mac), Feral Interactive (Linux)","2K, Feral Interactive (Mac), Feral Interactive (Linux)",Action
109,Cuphead,"Sep 29, 2017",$19.99,88%,7500000,0%,Studio MDHR Entertainment Inc.,Studio MDHR Entertainment Inc.,Action
112,Subnautica,"Jan 23, 2018",$29.99,87%,7500000,0%,Unknown Worlds Entertainment,Unknown Worlds Entertainment,Action
115,Total War: WARHAMMER II,"Sep 28, 2017",$59.99,87%,7500000,0%,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",Action
152,Saints Row IV: Re-Elected,"Aug 19, 2013",$19.99,86%,7500000,0%,Deep Silver Volition,Deep Silver,Action
153,Tomb Raider,"Mar 4, 2013",$14.99,86%,7500000,0%,"Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Nixxes","Crystal Dynamics, Feral Interactive (Mac)",Action
165,Call of Duty: Modern Warfare 2 (2009),"Nov 11, 2009",$19.99,86%,7500000,0%,Infinity Ward,Activision,Action
172,Call of Duty 2,"Oct 13, 2006",$19.99,86%,7500000,0%,Infinity Ward,Activision,Action
193,DOOM,"May 12, 2016",$19.99,85%,7500000,0%,id Software,Bethesda Softworks,Action
198,Cities: Skylines,"Mar 10, 2015",$8.99,85%,7500000,0%,Colossal Order Ltd.,Paradox Interactive,Action
200,Assetto Corsa,"Dec 19, 2014",$19.99,85%,7500000,0%,Kunos Simulazioni,Kunos Simulazioni,Action
205,BattleBlock Theater,"May 15, 2014",$14.99,85%,7500000,0%,The Behemoth,The Behemoth,Action
212,STAR WARS: The Old Republic,"Dec 20, 2011",Free,85%,7500000,0%,Broadsword,Electronic Arts,Action
231,Middle-earth: Shadow of Mordor,"Sep 30, 2014",$3.99,84%,7500000,0%,Monolith Productions,"Warner Bros. Interactive Entertainment, Warner Bros. Games",Action
236,PlanetSide 2,"Nov 20, 2012",Free,84%,7500000,0%,Rogue Planet Games,Daybreak Game Company,Action
274,Hearts of Iron IV,"Jun 6, 2016",$14.99,83%,7500000,0%,Paradox Development Studio,Paradox Interactive,Action
276,Grim Dawn,"Feb 25, 2016",$24.99,83%,7500000,0%,Crate Entertainment,Crate Entertainment,Action
361,HITMAN 2,"Nov 13, 2018",,82%,7500000,0%,IO Interactive A/S,IO Interactive A/S,Action
382,Little Nightmares,"Apr 27, 2017",$19.99,81%,7500000,0%,Tarsier Studios,BANDAI NAMCO Entertainment,Action
393,Starbound,"Jul 22, 2016",$14.99,81%,7500000,0%,Chucklefish,Chucklefish,Action
461,Guacamelee! Super Turbo Championship Edition,"Aug 21, 2014",$3.74,80%,7500000,0%,DrinkBox Studios,DrinkBox Studios,Action
473,Company of Heroes 2,"Jun 25, 2013",$19.99,80%,7500000,0%,"Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",Action
490,Day of Defeat: Source,"Jul 12, 2010",$9.99,80%,7500000,0%,Valve,Valve,Action
527,Black Desert,"May 24, 2017",$9.99,80%,7500000,0%,Pearl Abyss,Pearl Abyss,Action
528,The Elder Scrolls Online,"May 22, 2017",$19.99,80%,7500000,0%,ZeniMax Online Studios,Bethesda Softworks,Action
584,Chivalry: Medieval Warfare,"Oct 16, 2012",$24.99,79%,7500000,0%,Torn Banner Studios,Torn Banner Studios,Action
638,Mount & Blade: Warband,"Mar 31, 2010",$19.99,78%,7500000,0%,TaleWorlds Entertainment,TaleWorlds Entertainment,Action
642,"STAR WARS Battlefront II (Classic, 2005)","Nov 1, 2005",$9.99,78%,7500000,0%,Pandemic Studios,"Lucasfilm, LucasArts, Disney",Action
698,Evolve Stage 2,"Feb 10, 2015",,77%,7500000,0%,Turtle Rock Studios,2K,Action
905,Neverwinter,"Dec 5, 2013",Free,74%,7500000,0%,Cryptic Studios,Arc Games,Action
907,Arma 3,"Sep 12, 2013",$29.99,74%,7500000,0%,Bohemia Interactive,Bohemia Interactive,Action
948,The Elder Scrolls V: Skyrim Special Edition,"Oct 27, 2016",$39.99,74%,7500000,0%,Bethesda Game Studios,Bethesda Softworks,Action
970,Call of Duty: Black Ops III,"Nov 5, 2015",$59.99,73%,7500000,0%,"Treyarch, Aspyr (Mac)","Activision, Aspyr (Mac)",Action
978,A Story About My Uncle,"May 28, 2014",$2.99,73%,7500000,0%,Gone North Games,Coffee Stain Publishing,Action
1033,Loadout,"Jan 31, 2014",,72%,7500000,0%,Edge of Reality,Edge of Reality,Action
1268,Age of Empires II (Retired),"Apr 9, 2013",$19.99,68%,7500000,0%,"Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires",Xbox Game Studios,Action
1466,Fallout Shelter,"Mar 29, 2017",Free,63%,7500000,0%,Bethesda Game Studios,Bethesda Softworks,Action
1473,Dirty Bomb,Jun 2015,Free,63%,7500000,0%,Splash Damage,Warchest Ltd.,Action
1523,No Man's Sky,"Aug 12, 2016",$59.99,61%,7500000,0%,Hello Games,Hello Games,Action
1985,Z1 Battle Royale: Test Server,"Feb 24, 2016",,,7500000,0%,Daybreak Game Company,Daybreak Game Company,Action
2130,Clicker Heroes,"May 13, 2015",Free,,7500000,0%,Playsaurus,Playsaurus,Action
2143,Freestyle 2: Street Basketball,"Apr 1, 2015",Free,,7500000,0%,JOYCITY,JOYCITY,Action
2157,Life is Strange - Episode 1,"Jan 29, 2015",Free,,7500000,0%,"DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral interactive (Mac), Feral Interactive (Linux)",Action
2187,Counter-Strike Nexon: Studio,"Oct 7, 2014",Free,,7500000,0%,"Valve, NEXON",NEXON,Action
2212,theHunter Classic,"Jun 3, 2014",Free,,7500000,0%,"Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios",Action
2254,Cry of Fear,"Apr 25, 2013",Free,,7500000,0%,Team Psykskallar,Team Psykskallar,Action
2281,APB Reloaded,"Dec 6, 2011",Free,,7500000,0%,Reloaded Productions,Little Orbit,Action
2283,No More Room in Hell,"Oct 31, 2011",Free,,7500000,0%,No More Room in Hell Team,Lever Games,Action
2796,Realm Royale,"Jun 5, 2018",Free,,7500000,0%,Heroic Leap Games,Hi-Rez Studios,Action
3001,SCP: Secret Laboratory,"Dec 29, 2017",Free,,7500000,0%,Northwood Studios,Northwood Studios,Action
3325,Deceit,"Mar 3, 2017",Free,,7500000,0%,World Makers,World Makers,Action
3424,Infestation: The New Z,"Nov 22, 2016",Free,,7500000,0%,Fredaikis AB,OP Productions LLC,Action
4260,DayZ,"Dec 13, 2018",$44.99,,7500000,0%,Bohemia Interactive,Bohemia Interactive,Action
4489,Battlefield V,"Oct 22, 2020",$49.99,,7500000,0%,DICE,Electronic Arts,Action
5020,SCUM,"Aug 29, 2018",$39.99,,7500000,0%,Gamepires,Jagex Ltd,Action
5868,Conan Exiles,"May 8, 2018",$39.99,,7500000,0%,Funcom,Funcom,Action
10525,Tom Clancy’s The Division,"Mar 7, 2016",$4.49,,7500000,0%,Massive Entertainment,Ubisoft,Action
10674,Scrap Mechanic,"Jan 19, 2016",$19.99,,7500000,0%,Axolot Games,Axolot Games,Action
11302,BeamNG.drive,"May 29, 2015",$24.99,,7500000,0%,BeamNG,BeamNG,Action
11603,Geometry Dash,"Dec 22, 2014",$4.99,,7500000,0%,RobTop Games,RobTop Games,Action
12207,Castle Crashers,"Sep 26, 2012",$14.99,,7500000,0%,The Behemoth,The Behemoth,Action
12400,Oddworld: Abe's Oddysee,"Dec 12, 1997",$2.99,,7500000,0%,Oddworld Inhabitants,Oddworld Inhabitants,Action
12437,Half-Life Deathmatch: Source,"May 1, 2006",$9.99,,7500000,0%,Valve,Valve,Action
12471,Deathmatch Classic,"Jun 1, 2001",$4.99,,7500000,0%,Valve,Valve,Action
12544,Assassin’s Creed IV Black Flag,,$11.99,,7500000,0%,Ubisoft Montreal,Ubisoft,Action
2,BioShock,"Aug 21, 2007",$19.99,96%,3500000,0%,"2K Boston, 2K Australia",2K,Action
4,Half-Life,"Nov 8, 1998",$9.99,96%,3500000,0%,Valve,Valve,Action
11,The Elder Scrolls IV: Oblivion Game of the Year Edition Deluxe,"Jun 16, 2009",$14.99,94%,3500000,0%,Bethesda Game Studios®,Bethesda Softworks,Action
19,Grand Theft Auto III,"May 21, 2002",,93%,3500000,0%,Rockstar Games,Rockstar Games,Action
23,Call of Duty 4: Modern Warfare (2007),"Nov 12, 2007",$19.99,92%,3500000,0%,Infinity Ward,Activision,Action
29,METAL GEAR SOLID V: THE PHANTOM PAIN,"Sep 1, 2015",$19.99,91%,3500000,0%,KONAMI,KONAMI,Action
32,Deus Ex: Human Revolution - Director's Cut,"Oct 25, 2013",$19.99,91%,3500000,0%,Eidos Montreal,Eidos Interactive Corp.,Action
33,Dishonored,"Oct 8, 2012",$9.99,91%,3500000,0%,Arkane Studios,Bethesda Softworks,Action
34,Batman: Arkham City - Game of the Year Edition,"Sep 7, 2012",$3.99,91%,3500000,0%,Rocksteady Studios,WB Games,Action
36,Batman: Arkham Asylum Game of the Year Edition,"Mar 26, 2010",$3.99,91%,3500000,0%,Rocksteady Studios,WB Games,Action
37,Fallout 3: Game of the Year Edition,"Dec 17, 2009",$19.99,91%,3500000,0%,Bethesda Game Studios,Bethesda Softworks,Action
52,Total War: SHOGUN 2,"Mar 15, 2011",$29.99,90%,3500000,0%,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",Action
67,Street Fighter V,"Feb 15, 2016",$19.99,89%,3500000,0%,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Action
72,XCOM: Enemy Unknown,"Oct 8, 2012",$29.99,89%,3500000,0%,"Firaxis Games, Feral Interactive (Linux)","2K, Feral Interactive (Linux)",Action
73,Borderlands 2,"Sep 17, 2012",$19.99,89%,3500000,0%,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",Action
86,Ori and the Blind Forest: Definitive Edition,"Apr 27, 2016",$19.99,88%,3500000,0%,Moon Studios GmbH,Xbox Game Studios,Action
88,Ori and the Blind Forest,"Mar 11, 2015",,88%,3500000,0%,Moon Studios GmbH,Xbox Game Studios,Action
90,Far Cry 3,"Dec 4, 2012",$19.49,88%,3500000,0%,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",Ubisoft,Action
92,Torchlight II,"Sep 20, 2012",$2.99,88%,3500000,0%,Runic Games,Arc Games,Action
93,The Witcher 2: Assassins of Kings Enhanced Edition,"May 17, 2011",$2.99,88%,3500000,0%,CD PROJEKT RED,"CD PROJEKT RED, 1C-SoftClub",Action
94,LIMBO,"Aug 2, 2011",$0.99,88%,3500000,0%,Playdead,Playdead,Action
97,BioShock 2,"Feb 9, 2010",$19.99,88%,3500000,0%,"2K Marin, 2K China, Digital Extremes, 2K Australia",2K,Action
108,Celeste,"Jan 25, 2018",$19.99,88%,3500000,0%,"Maddy Makes Games Inc., Extremely OK Games, Ltd.",Maddy Makes Games Inc.,Action
118,INSIDE,"Jul 7, 2016",$1.99,87%,3500000,0%,Playdead,Playdead,Action
120,Crypt of the NecroDancer,"Apr 23, 2015",$14.99,87%,3500000,0%,Brace Yourself Games,"Brace Yourself Games, Klei Entertainment",Action
123,Max Payne 3,"May 31, 2012",$5.99,87%,3500000,0%,Rockstar Studios,Rockstar Games,Action
125,Dead Space 2,"Jan 25, 2011",$19.99,87%,3500000,0%,Visceral Games,Electronic Arts,Action
126,Super Meat Boy,"Nov 30, 2010",$3.74,87%,3500000,0%,Team Meat,,Action
127,Battlefield: Bad Company 2,"Mar 2, 2010",,87%,3500000,0%,DICE,Electronic Arts,Action
129,Dead Space (2008),"Jan 9, 2009",$19.99,87%,3500000,0%,EA Redwood Shores,Electronic Arts,Action
135,Psychonauts,"Oct 11, 2006",$9.99,87%,3500000,0%,Double Fine Productions,Double Fine Productions,Action
136,Half-Life 2: Episode One,"Jun 1, 2006",$7.99,87%,3500000,0%,Valve,Valve,Action
141,Total War: WARHAMMER,"May 24, 2016",$59.99,86%,3500000,0%,"CREATIVE ASSEMBLY, Feral Interactive (Linux), Feral Interactive (Mac)","SEGA, Feral Interactive (Linux), Feral Interactive (Mac)",Action
142,Rise of the Tomb Raider,"Feb 9, 2016",$29.99,86%,3500000,0%,"Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Feral Interactive (Linux), Nixxes","Crystal Dynamics, Feral Interactive (Mac), Feral Interactive (Linux)",Action
144,DiRT Rally,"Dec 7, 2015",,86%,3500000,0%,"Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac), Electronic Arts",Action
155,The Lord of the Rings Online,"Jun 6, 2012",Free,86%,3500000,0%,"Standing Stone Games, LLC","Standing Stone Games, LLC",Action
159,Bastion,"Aug 16, 2011",$14.99,86%,3500000,0%,Supergiant Games,Supergiant Games,Action
161,The Sims 3,"Jan 27, 2011",$19.99,86%,3500000,0%,The Sims Studio,Electronic Arts,Action
163,Need For Speed: Hot Pursuit,"Nov 16, 2010",,86%,3500000,0%,Criterion Games,Electronic Arts,Action
164,Assassin's Creed 2,"Mar 9, 2010",$19.99,86%,3500000,0%,Ubisoft Montreal,Ubisoft,Action
168,The Witcher: Enhanced Edition Director's Cut,"Sep 16, 2008",$1.49,86%,3500000,0%,CD PROJEKT RED,"CD PROJEKT RED, 1C-SoftClub",Action
180,Dishonored 2,"Nov 11, 2016",$29.99,86%,3500000,0%,Arkane Studios,Bethesda Softworks,Action
182,Metro Exodus,"Feb 14, 2020",$29.99,85%,3500000,0%,4A Games,Deep Silver,Action
186,DRAGON BALL FighterZ,"Jan 26, 2018",$59.99,85%,3500000,0%,Arc System Works,BANDAI NAMCO Entertainment,Action
188,Battlerite,"Nov 8, 2017",Free,85%,3500000,0%,Stunlock Studios,Stunlock Studios,Action
210,Hotline Miami,"Oct 23, 2012",$1.99,85%,3500000,0%,Dennaton Games,Devolver Digital,Action
211,DARK SOULS: Prepare To Die Edition,"Aug 24, 2012",,85%,3500000,0%,FromSoftware,Bandai Namco Entertainment,Action
213,Amnesia: The Dark Descent,"Sep 8, 2010",$19.99,85%,3500000,0%,Frictional Games,Frictional Games,Action
214,"Warhammer 40,000: Dawn of War II","Feb 18, 2009",$19.99,85%,3500000,0%,"Relic Entertainment, Feral Interactive (Mac/Linux)","SEGA, Feral Interactive (Mac/Linux)",Action
222,SpeedRunners,"Apr 19, 2016",$2.99,84%,3500000,0%,DoubleDutch Games,tinyBuild,Action
224,Enter the Gungeon,"Apr 5, 2016",$4.49,84%,3500000,0%,Dodge Roll,Devolver Digital,Action
228,SOMA,"Sep 21, 2015",$2.99,84%,3500000,0%,Frictional Games,Frictional Games,Action
233,RIFT,"Oct 24, 2013",Free,84%,3500000,0%,gamigo US Inc.,gamigo US Inc.,Action
235,Trine 2: Complete Story,"Jun 6, 2013",$19.99,84%,3500000,0%,Frozenbyte,Frozenbyte,Action
237,Saints Row: The Third,"Nov 14, 2011",$9.99,84%,3500000,0%,Volition,Deep Silver,Action
238,The Binding of Isaac,"Sep 28, 2011",$4.99,84%,3500000,0%,"Edmund McMillen, Florian Himsl",Edmund McMillen,Action
239,Fallout: New Vegas,"Oct 19, 2010",$9.99,84%,3500000,0%,Obsidian Entertainment,Bethesda Softworks,Action
240,Just Cause 2,"Mar 23, 2010",$1.49,84%,3500000,0%,Avalanche Studios,Square Enix,Action
247,DARK SOULS: REMASTERED,"May 23, 2018",$39.99,84%,3500000,0%,QLOC,"FromSoftware, Inc, Bandai Namco Entertainment",Action
249,Nioh: Complete Edition,"Nov 7, 2017",$49.99,84%,3500000,0%,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",Action
254,NieR:Automata,"Mar 17, 2017",$39.99,84%,3500000,0%,"Square Enix, PlatinumGames Inc.",Square Enix,Action
268,Hellblade: Senua's Sacrifice,"Aug 7, 2017",$29.99,83%,3500000,0%,Ninja Theory,Ninja Theory,Action
272,Resident Evil 7 Biohazard,"Jan 23, 2017",$19.99,83%,3500000,0%,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Action
273,Deus Ex: Mankind Divided,"Aug 23, 2016",$29.99,83%,3500000,0%,"Eidos Montreal, Feral Interactive (Linux), Feral Interactive (Mac)","Eidos Interactive Corp., Feral Interactive (Linux), Feral Interactive (Mac)",Action
279,HELLDIVERS Dive Harder Edition,"Dec 7, 2015",$19.99,83%,3500000,0%,Arrowhead Game Studios,PlayStation PC LLC,Action
280,Broforce,"Oct 15, 2015",$2.99,83%,3500000,0%,Free Lives,Devolver Digital,Action
289,FINAL FANTASY XIV Online,"Feb 18, 2014",$19.99,83%,3500000,0%,Square Enix,Square Enix,Action
290,METAL GEAR RISING: REVENGEANCE,"Jan 9, 2014",$29.99,83%,3500000,0%,PlatinumGames,KONAMI,Action
294,Skullgirls 2nd Encore,"Aug 22, 2013",$4.99,83%,3500000,0%,Hidden Variable Studios,Autumn Games,Action
296,Monaco: What's Yours Is Mine,"Apr 24, 2013",$14.99,83%,3500000,0%,Pocketwatch Games,Humble Games,Action
299,Orcs Must Die! 2,"Jul 30, 2012",$3.74,83%,3500000,0%,Robot Entertainment,Robot Entertainment,Action
300,Alan Wake,"Feb 16, 2012",$6.24,83%,3500000,0%,Remedy Entertainment,Remedy Entertainment,Action
304,L.A. Noire,"Nov 8, 2011",$5.99,83%,3500000,0%,"Team Bondi, Rockstar Leeds",Rockstar Games,Action
308,Darksiders,"Sep 23, 2010",$19.99,83%,3500000,0%,Vigil Games,THQ Nordic,Action
314,Call of Duty: World at War,"Nov 18, 2008",$19.99,83%,3500000,0%,Treyarch,Activision,Action
330,Duck Game,"Jun 4, 2015",$12.99,82%,3500000,0%,Landon Podbielski,Adult Swim Games,Action
338,The Walking Dead,"Apr 24, 2012",$14.99,82%,3500000,0%,Telltale Games,Skybound Games,Action
